video_id,title,views,publishedAt,durationSec,channel_id,channel_title,channel_url,watch_url
U7Ce6j9_dSY,"우승 1분 남기고 무너진 토트넘.. 진짜 이걸 지냐; 이강인 1호골 폭발! 경기 뒤집었다! PSG 슈퍼컵 우승! 경기종료 1분 남기고 승리놓친 토트넘,",376655,2025-08-13T21:18:19Z,559,UCLsJ7sVuGf0auEySnT2BHag,풋볼 포레스트 - Forrest Football,https://www.youtube.com/channel/UCLsJ7sVuGf0auEySnT2BHag,https://www.youtube.com/watch?v=U7Ce6j9_dSY
DpVqpGmnUKU,손흥민 동료가 말한 LA의 압도적 거물 쏘니 - 최고 스타가 가장 승부욕 강하면 생기는 일,372089,2025-08-11T09:20:49Z,731,UCqzNZeBt0546jG-vDlAQlZg,스토리K - 축구in 인문학 by kei,https://www.youtube.com/channel/UCqzNZeBt0546jG-vDlAQlZg,https://www.youtube.com/watch?v=DpVqpGmnUKU
bkggLV2ABLM,"""아무도 안하는 저 행동 뭡니까?.."" 손흥민 데뷔전에서 보여준 충격적인 돌발행동 보던 중계진 경악하며, 선수단 뜻밖의 반응 본 팬들 난리난 상황",366868,2025-08-12T05:13:43Z,498,UC6lUwSSWz_elt4bf8CvGEvw,더스포츠,https://www.youtube.com/channel/UC6lUwSSWz_elt4bf8CvGEvw,https://www.youtube.com/watch?v=bkggLV2ABLM
kRq6Nvw8RGU,"손흥민, LA서 경호원 동행 포착 #손흥민 #shorts",360632,2025-08-11T08:30:09Z,18,UCSDiJHawJLgOFlUGWFsdj1Q,일곱Sports News,https://www.youtube.com/channel/UCSDiJHawJLgOFlUGWFsdj1Q,https://www.youtube.com/watch?v=kRq6Nvw8RGU
KkSuB8YuNMc,"손흥민 경기,미국 LA 헐리우드 스타들과 배우들이 보려고 기다리고 있는 이유",354090,2025-08-17T11:56:09Z,557,UCSfd9_deRjVAk0V9G7idgUg,지구본 뉴스,https://www.youtube.com/channel/UCSfd9_deRjVAk0V9G7idgUg,https://www.youtube.com/watch?v=KkSuB8YuNMc
BPWFlVyzLNE,무리뉴를 충격에 빠뜨렸던 손흥민의 미친 골🔥,353479,2025-08-11T08:51:22Z,60,UCIteuoGFSojc8V_8NedwrMQ,축구대통령,https://www.youtube.com/channel/UCIteuoGFSojc8V_8NedwrMQ,https://www.youtube.com/watch?v=BPWFlVyzLNE
4nOVwP2zZC8,⚽️081425 훈련 후 동료들과 휴식하는 손흥민  #lafc #bmostadium #losangeles #son7 #손흥민 #la #훈련 #축구,352145,2025-08-14T21:37:09Z,29,UCKyN1wTF_Hf5efXbMFAVpWg,미주중앙일보,https://www.youtube.com/channel/UCKyN1wTF_Hf5efXbMFAVpWg,https://www.youtube.com/watch?v=4nOVwP2zZC8
7w0g2OnjBS8,손흥민 뉴잉글랜드전에 놀라운 반응들 - 다른 차원의 선수가 만든 새로운 이야기에 현지 풍경들,349540,2025-08-17T08:49:26Z,826,UCqzNZeBt0546jG-vDlAQlZg,스토리K - 축구in 인문학 by kei,https://www.youtube.com/channel/UCqzNZeBt0546jG-vDlAQlZg,https://www.youtube.com/watch?v=7w0g2OnjBS8
is6eshQA3IU,"연속된 좌절...,손흥민 LAFC 이적 사가 2탄",345581,2025-08-12T12:40:00Z,42,UCrsUoCPo5tYO01HjumYqLQQ,축갤러,https://www.youtube.com/channel/UCrsUoCPo5tYO01HjumYqLQQ,https://www.youtube.com/watch?v=is6eshQA3IU
3bAycZ2CcA0,LAFC 뉴잉글랜드 손흥민 라이브 축구중계(MLS 한국해설),332209,2025-08-17T01:43:51Z,8053,UCt3AhXsC_F_-m9B7JILdJPQ,식스맨TV축구해설,https://www.youtube.com/channel/UCt3AhXsC_F_-m9B7JILdJPQ,https://www.youtube.com/watch?v=3bAycZ2CcA0
ZVeidr7nVYs,손흥민 하나 들어왔을 뿐인데 바로 리그 1위라니 메시 경악ㄷㄷ,329731,2025-08-14T11:00:56Z,47,UCQxypI_6PaHLmdvLFBjfF3Q,손흥민전성시대,https://www.youtube.com/channel/UCQxypI_6PaHLmdvLFBjfF3Q,https://www.youtube.com/watch?v=ZVeidr7nVYs
EkArjtFB67k,"“모두를 자선에 쓰겠다!”—LAFC 회장이 폭로한 충격 진실: 손흥민, 2,000억 원 계약금을 전액 기부… 위대한 인품에 미국이 눈물, “100년 역사상 이런 사람은 처음이다!”",320039,2025-08-13T11:30:11Z,540,UCMMYotfqIDjjaB4EKknh-Aw,축구의 감정,https://www.youtube.com/channel/UCMMYotfqIDjjaB4EKknh-Aw,https://www.youtube.com/watch?v=EkArjtFB67k
pshvyldtNaU,손흥민 LAFC 첫 어시스트에 MOM까지!! 오늘도 흥분한 엘에이 현지팬들 ㅋㅋ,317204,2025-08-17T05:09:32Z,492,UCcrYRUtDo_xhVfctf-MosnQ,백호 in LA,https://www.youtube.com/channel/UCcrYRUtDo_xhVfctf-MosnQ,https://www.youtube.com/watch?v=pshvyldtNaU
H3EReK0l1BY,손흥민은 우리 생각보다 훨씬 더 세계적인 선수네요.. 현지반응 미쳤다! [6시 내축구],311295,2025-08-11T11:30:16Z,1691,UCRDowcnvz5ZVh-3NVAdfiqg,달수네라이브,https://www.youtube.com/channel/UCRDowcnvz5ZVh-3NVAdfiqg,https://www.youtube.com/watch?v=H3EReK0l1BY
LjdjHY8ftu8,손흥민 MLS 개척 현지언론이 더 호들갑인 이유 - 역사적인 변곡점을 준비하는 미국 축구의 집착,311283,2025-08-12T09:24:02Z,733,UCqzNZeBt0546jG-vDlAQlZg,스토리K - 축구in 인문학 by kei,https://www.youtube.com/channel/UCqzNZeBt0546jG-vDlAQlZg,https://www.youtube.com/watch?v=LjdjHY8ftu8
tBUETn6SWBI,“우리 모두 손흥민한테 속았다” 단단히 화난 미국 스포츠 기자,308077,2025-08-15T00:38:29Z,47,UCQxypI_6PaHLmdvLFBjfF3Q,손흥민전성시대,https://www.youtube.com/channel/UCQxypI_6PaHLmdvLFBjfF3Q,https://www.youtube.com/watch?v=tBUETn6SWBI
OSJbRLMgHKE,"클롭 ""우리도 저건 못막았어ㅋㅋ"" 손흥민 38M 침투 골에 빵터진 클롭감독 한마디에 미국이 초긴장중인 이유",296154,2025-08-11T05:30:10Z,499,UCzxawsAnspJDEoUq3FmutWw,탄탄 세계읽기,https://www.youtube.com/channel/UCzxawsAnspJDEoUq3FmutWw,https://www.youtube.com/watch?v=OSJbRLMgHKE
RhB9jkbUBo8,"[감동] 손흥민, 로스앤젤레스의 MEND 자선단체에 사상 최대 금액 기부; 미국 언론: ""쏘니의 따뜻한 마음, 태평양보다 크다!""",293802,2025-08-13T11:21:34Z,576,UCJbuZB0z3paDBIXOonVuZBQ,스포킹TV,https://www.youtube.com/channel/UCJbuZB0z3paDBIXOonVuZBQ,https://www.youtube.com/watch?v=RhB9jkbUBo8
